latitude,longitude,notes
37.823730911052365,-122.17576407861601,'Redwood Regional Park, near the Tres Sendas bridge'
37.81106117743245,-122.15608203218845,'Redwood Regional Park, near the Old Church'
37.89591501226726,-122.5754528770559,'Muir Woods, near Bridge 2'
37.41059184005661,-122.35939295290684,'The Elbow Tree'
38.398846091050444,-122.9914118353171,'Grove of Old Trees'
38.53724557870291,-123.00656631208653,'Armstrong Redwoods'
40.31467192916288,-123.97800224764826,'Humboldt Redwoods State Park'
39.17651561798815,-123.6899076065728,'Navarro River Redwoods State Park'
41.78919313350568,-124.08446924688278,'Stout Grove Trailhead'
41.366387959576585,-124.02655869525327,'Redwood National Park'
