latitude,longitude,notes,rainfall_inches,fog_days,coldest_tmin_c,hottest_tmax_c,is_suitable,fog_modis_dpm,fog_torre_dec,fog_torre_day,fog_torre_night,fog_goes18_day,phzm_extreme_min_c
38.550770000412086,-121.7431041154448,'Davis, CA',17.46,78.9,3.5,33.57,0,1.0,2.28,1.47,0.8,21.9,-3.06
41.41338349129737,-122.1990148888143,Mount Shasta,94.15,53.9,-14.49,12.39,0,15.79,,,,132.9,-26.81
40.72678226260116,-122.93993510937833,'Weaverville, CA',32.59,39.4,-0.17,34.23,0,6.58,3.56,2.32,1.24,38.0,-8.45
37.6621912114639,-121.0160684580576,'Modesto, CA',,,,,0,9.32,,,,,
38.01217275249035,-121.8113499917234,'Antioch, CA',12.45,18.4,4.2,31.01,0,17.68,3.34,2.32,1.02,17.5,-2.34
37.95494028941147,-121.29052935946082,'Stockton, CA',14.12,21.0,3.3,32.95,0,9.79,,,,24.8,-3.55
36.6864925365524,-120.7921899798848,Panoche Hills Ecological Reserve,,,,,0,1.21,2.87,2.21,0.66,,
37.06184130635552,-120.85054587626828,'Los Banos, CA',,,,,0,1.05,,,,,
42.06455032902345,-122.4791907830614,'Soda Mountain, OR',24.57,53.9,-2.49,25.04,0,4.68,,,,42.3,-11.93
41.89563633054773,-122.92510090883356,'Dry Lake Mountain, CA',39.06,51.3,-1.75,25.54,0,4.63,,,,43.8,-11.28
43.86737702712647,-122.84419572426891,'Kloster Mountain, OR',35.55,89.4,0.96,26.0,0,10.11,,,,,-6.5
44.4131472176627,-123.90469317000338,'Siuslaw National Forest, OR',,,,,0,13.42,,,,,
